mst_card_id,mst_idol_id,mst_costume_id,bonus_costume_id,rank5_costume_id,resource_id,rarity,idol_type,level_max,life,vocal_base,vocal_max,vocal_master_bonus,dance_base,dance_max,dance_master_bonus,visual_base,visual_max,visual_master_bonus,skill_level_max,awakening_gauge_max,master_rank_max,cheer_point,mst_center_effect_id,mst_card_skill_id_list,ex_type,variation,master_lesson_begin_date,training_item_list,begin_date,sort_id,card_category,extend_card_level_max,extend_card_life,extend_card_vocal_max,extend_card_vocal_master_bonus,extend_card_dance_max,extend_card_dance_master_bonus,extend_card_visual_max,extend_card_visual_master_bonus,is_master_lesson_five_available,barrier_mission_list,training_point,sign_type,sign_type2
36,37,0,0,0,037nao0011,1,1,30,25,1180,3540,106,589,1768,53,871,2612,78,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,37000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
37,38,0,0,0,038chz0011,1,2,30,25,949,2847,85,674,2021,61,1161,3482,104,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,38000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
38,39,0,0,0,039kon0011,1,3,30,25,898,2695,81,770,2311,69,1081,3244,97,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,39000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
39,40,0,0,0,040tam0011,1,3,30,25,763,2290,69,1003,3009,90,939,2818,85,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,40000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
40,41,0,0,0,041fuk0011,1,3,30,25,949,2846,85,901,2702,81,917,2751,83,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,41000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
41,42,0,0,0,042miy0011,1,3,30,25,1046,3137,94,811,2432,73,940,2821,85,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,42000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
42,43,0,0,0,043nor0011,1,1,30,25,667,2002,60,923,2769,83,1198,3594,108,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,43000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
43,44,0,0,0,044miz0011,1,2,30,25,881,2643,79,867,2601,78,899,2696,81,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,44000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
44,45,0,0,0,045kar0011,1,3,30,25,680,2041,61,879,2636,79,1221,3663,110,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,45000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
45,46,0,0,0,046rio0011,1,2,30,25,866,2598,78,672,2017,61,1139,3416,102,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,46000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
46,47,0,0,0,047sub0011,1,2,30,25,653,1959,59,1137,3411,102,876,2628,79,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,47000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
47,48,0,0,0,048rei0011,1,3,30,25,932,2796,84,893,2678,80,861,2583,77,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,48000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
48,49,0,0,0,049mom0011,1,2,30,25,944,2831,85,868,2604,78,946,2838,85,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,49000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
49,50,0,0,0,050jul0011,1,2,30,25,1172,3515,105,602,1807,54,890,2670,80,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,50000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
50,51,0,0,0,051tmg0011,1,2,30,25,911,2734,82,601,1802,54,1128,3384,102,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,51000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
51,52,0,0,0,052kao0011,1,3,30,25,1146,3437,103,602,1807,54,939,2816,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,52000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
52,1,0,0,0,001har0022,2,1,50,30,1317,3292,99,1314,3285,99,1328,3319,100,10,200,4,0,1201,203,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,53000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
53,5,0,0,0,005yay0022,2,3,50,30,1356,3389,102,1320,3299,99,1348,3370,101,10,200,4,0,3205,402,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,54000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
54,6,0,0,0,006mak0022,2,1,50,30,1773,4433,133,1002,2505,75,1351,3378,101,10,200,4,0,1202,102,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,55000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
55,7,0,0,0,007ior0022,2,2,50,30,1329,3323,100,1696,4240,127,934,2336,70,10,200,4,0,2203,102,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,56000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
56,10,0,0,0,010azu0022,2,3,50,30,971,2428,73,1808,4521,136,1311,3277,98,10,200,4,0,3203,103,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,57000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
57,11,0,0,0,011ami0022,2,3,50,30,1774,4436,133,972,2430,73,1399,3498,105,10,200,4,0,3202,102,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,58000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
58,13,0,0,0,013hib0022,2,1,50,30,1314,3284,99,1811,4527,136,928,2319,70,10,200,4,0,1205,403,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,59000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
59,14,0,0,0,014mir0022,2,1,50,30,910,2274,68,1788,4471,134,1331,3327,100,10,200,4,0,1203,203,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,60000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
60,15,0,0,0,015siz0022,2,2,50,30,975,2437,73,1364,3409,102,1747,4367,131,10,200,4,0,2204,103,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,61000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
61,16,0,0,0,016tsu0022,2,3,50,30,908,2271,68,1366,3414,102,1784,4461,134,10,200,4,0,3204,103,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,62000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
62,18,0,0,0,018ele0022,2,3,50,30,1404,3509,105,954,2385,72,1741,4353,131,10,200,4,0,3205,303,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,63000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
63,19,0,0,0,019min0022,2,1,50,30,1383,3457,104,980,2450,74,1764,4410,132,10,200,4,0,1205,402,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,64000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
64,20,0,0,0,020meg0022,2,2,50,30,1695,4238,127,952,2381,71,1352,3379,101,10,200,4,0,2205,303,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,65000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
65,22,0,0,0,022ser0022,2,3,50,30,1356,3390,102,1297,3242,97,1398,3496,105,10,200,4,0,3201,103,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,66000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
66,25,0,0,0,025roc0022,2,2,50,30,941,2352,71,1701,4252,128,1397,3493,105,10,200,4,0,2206,602,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,67000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
67,26,0,0,0,026yur0022,2,1,50,30,1722,4305,129,1338,3344,100,993,2483,74,10,200,4,0,1205,302,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,68000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
68,30,0,0,0,030iku0022,2,1,50,30,950,2374,71,1398,3496,105,1726,4314,129,10,200,4,0,1204,103,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,69000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
69,32,0,0,0,032emi0022,2,1,50,30,1334,3334,100,1391,3478,104,1374,3435,103,10,200,4,0,1206,601,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,70000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
70,33,0,0,0,033sih0022,2,2,50,30,1328,3320,100,1406,3515,105,1347,3368,101,10,200,4,0,2205,402,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,71000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
71,36,0,0,0,036kan0022,2,1,50,30,1535,3837,115,1100,2750,83,1327,3318,100,10,200,4,0,1205,303,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,72000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
72,38,0,0,0,038chz0022,2,2,50,30,1360,3400,102,894,2236,67,1805,4512,135,10,200,4,0,2205,403,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,73000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
73,39,0,0,0,039kon0022,2,3,50,30,1372,3430,103,1764,4411,132,981,2453,74,10,200,4,0,3205,302,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,74000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
74,40,0,0,0,040tam0022,2,3,50,30,1800,4501,135,1302,3255,98,914,2286,69,10,200,4,0,3206,602,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,75000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
75,44,0,0,0,044miz0022,2,2,50,30,1308,3271,98,1372,3431,103,1400,3501,105,10,200,4,0,2205,302,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,76000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
76,51,0,0,0,051tmg0022,2,2,50,30,1694,4234,127,1360,3400,102,916,2289,69,10,200,4,0,2202,203,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,77000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
77,52,0,0,0,052kao0022,2,3,50,30,993,2483,74,1702,4256,128,1380,3451,104,10,200,4,0,3203,202,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,78000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
78,2,0,0,0,002chi0023,3,2,70,35,1855,4329,130,1378,3216,96,2388,5572,167,10,300,4,0,2304,107,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,79000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
79,3,0,0,0,003mik0023,3,3,70,35,2476,5777,173,1812,4229,127,1312,3061,92,10,300,4,0,3302,110,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,80000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
80,4,0,0,0,004yuk0023,3,1,70,35,1874,4372,131,1841,4295,129,1900,4434,133,10,300,4,0,1301,109,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,81000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
81,8,0,0,0,008tak0023,3,2,70,35,1852,4322,130,1886,4400,132,1857,4332,130,10,300,4,0,2305,404,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,82000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
82,9,0,0,0,009rit0023,3,2,70,35,1368,3192,96,2436,5685,171,1827,4264,128,10,300,4,0,2306,617,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,83000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
83,12,0,0,0,012mam0023,3,3,70,35,1875,4374,131,2448,5713,171,1313,3063,92,10,300,4,0,3305,405,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,84000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
84,21,0,0,0,021mat0023,3,1,70,35,1346,3140,94,1857,4333,130,2378,5549,166,10,300,4,0,1304,106,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,85000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
85,23,0,0,0,023aka0023,3,3,70,35,1341,3128,94,1855,4329,130,2383,5561,167,10,300,4,0,3306,615,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,86000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
86,24,0,0,0,024ann0023,3,3,70,35,1893,4417,133,1835,4282,128,1897,4427,133,10,300,4,0,3305,306,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,87000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
87,27,0,0,0,027say0023,3,1,70,35,2346,5474,164,1885,4399,132,1413,3298,99,10,300,4,0,1302,110,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,88000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
88,28,0,0,0,028ari0023,3,1,70,35,2370,5529,166,1398,3263,98,1887,4403,132,10,300,4,0,1306,616,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,89000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
89,29,0,0,0,029umi0023,3,1,70,35,1855,4328,130,2411,5626,169,1353,3156,95,10,300,4,0,1303,105,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,90000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
90,31,0,0,0,031tom0023,3,2,70,35,1893,4418,133,1889,4407,132,1874,4373,131,10,300,4,0,2301,110,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,91000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
91,34,0,0,0,034ayu0023,3,2,70,35,2395,5589,168,1367,3189,96,1832,4275,128,10,300,4,0,2302,105,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,92000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
92,35,0,0,0,035hin0023,3,3,70,35,2433,5678,170,1397,3260,98,1814,4232,127,10,300,4,0,3302,111,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,93000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
93,37,0,0,0,037nao0023,3,1,70,35,1856,4331,130,1373,3203,96,2420,5647,169,10,300,4,0,1305,305,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,94000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
94,41,0,0,0,041fuk0023,3,3,70,35,1806,4215,126,1376,3210,96,2406,5614,168,10,300,4,0,3304,106,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,95000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
95,42,0,0,0,042miy0023,3,3,70,35,1545,3604,108,2145,5004,150,1914,4467,134,10,300,4,0,3303,106,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,96000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
96,43,0,0,0,043nor0023,3,1,70,35,1327,3096,93,2485,5798,174,1807,4216,126,10,300,4,0,1305,404,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,97000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
97,45,0,0,0,045kar0023,3,3,70,35,1879,4385,132,1881,4389,132,1860,4340,130,10,300,4,0,3301,105,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,98000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
98,46,0,0,0,046rio0023,3,2,70,35,1380,3220,97,1842,4297,129,2380,5554,167,10,300,4,0,2304,106,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,99000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
99,47,0,0,0,047sub0023,3,2,70,35,1847,4309,129,1871,4365,131,1877,4380,131,10,300,4,0,2306,504,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,100000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
100,48,0,0,0,048rei0023,3,3,70,35,1523,3554,107,2080,4854,146,2008,4686,141,10,300,4,0,3306,504,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,101000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
101,49,0,0,0,049mom0023,3,2,70,35,2431,5672,170,1842,4297,129,1333,3110,93,10,300,4,0,2305,306,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,102000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
102,50,0,0,0,050jul0023,3,2,70,35,1875,4374,131,2392,5582,167,1358,3169,95,10,300,4,0,2303,111,0,2,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,103000,20,0,0,0,0,0,0,0,0,FALSE,,0,0,0
103,1,115,116,30101012,001har0034,4,1,90,40,2347,5280,158,3109,6996,210,1739,3913,117,12,400,5,0,1403,114,0,3,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,104000,20,0,0,0,0,0,0,0,0,TRUE,,0,0,0
