mst_voice_category_id,sort_id,idol_detail_type,value,rarity,label_header,voice_label,release_date,mst_direction_category_id
2134,2134,2,1,3,system_live,result_sr_awake_gauge100_1,2019-08-19T13:00:00+0800,0
2135,2135,2,1,3,system_live,result_sr_awake_gauge100_2,2019-08-19T13:00:00+0800,0
2136,2136,2,1,3,system_live,result_sr_awake_gauge100_3,2019-08-19T13:00:00+0800,0
2141,2141,2,1,4,,awake_gauge25,2019-08-19T13:00:00+0800,0
2142,2142,2,1,4,,awake_gauge50,2019-08-19T13:00:00+0800,0
2143,2143,2,1,4,,awake_gauge75,2019-08-19T13:00:00+0800,0
2144,2144,2,1,4,,awake_gauge100_1,2019-08-19T13:00:00+0800,0
2145,2145,2,1,4,,awake_gauge100_2,2019-08-19T13:00:00+0800,0
2146,2146,2,1,4,,awake_gauge100_3,2019-08-19T13:00:00+0800,0
2311,2311,2,0,1,system_lesson,nr_master,2019-08-19T13:00:00+0800,0
2312,2312,2,2,1,system_lesson,nr_master_max,2019-08-19T13:00:00+0800,0
2321,2321,2,0,2,system_lesson,nr_master,2019-08-19T13:00:00+0800,0
2322,2322,2,2,2,system_lesson,nr_master_max,2019-08-19T13:00:00+0800,0
2331,2331,2,0,3,system_lesson,sr_master,2019-08-19T13:00:00+0800,0
2332,2332,2,2,3,system_lesson,sr_master_max,2019-08-19T13:00:00+0800,0
2341,2341,2,0,4,,master,2019-08-19T13:00:00+0800,0
2345,2345,2,2,4,,master_max,2019-08-19T13:00:00+0800,0
2346,2346,2,3,4,,master_max,2021-07-17T13:00:00+0800,0
3001,3001,3,0,0,system_storyidol,greeting_001,2019-08-19T13:00:00+0800,0
3002,3002,3,0,0,system_storyidol,greeting_002,2019-08-19T13:00:00+0800,0
3003,3003,3,0,0,system_storyidol,greeting_003,2019-08-19T13:00:00+0800,0
3004,3004,3,0,0,system_storyidol,greeting_004,2019-08-19T13:00:00+0800,0
3005,3005,3,0,0,system_storyidol,greeting_005,2019-08-19T13:00:00+0800,0
3006,3006,3,0,0,system_storyidol,greeting_006,2019-08-19T13:00:00+0800,0
3007,3007,3,0,0,system_storyidol,greeting_007,2019-08-19T13:00:00+0800,0
3008,3008,3,0,0,system_storyidol,greeting_008,2019-08-19T13:00:00+0800,0
3101,3101,3,50,0,system_storyidol,greetingsp_001,2019-08-19T13:00:00+0800,0
3102,3102,3,200,0,system_storyidol,greetingsp_002,2019-08-19T13:00:00+0800,0
3103,3103,3,500,0,system_storyidol,greetingsp_003,2019-08-19T13:00:00+0800,0
3104,3104,3,900,0,system_storyidol,greetingsp_004,2019-08-19T13:00:00+0800,0
3105,3105,3,1400,0,system_storyidol,greetingsp_005,2019-08-19T13:00:00+0800,0
3106,3106,3,2000,0,system_storyidol,greetingsp_006,2019-08-19T13:00:00+0800,0
