mst_song_id,course_id,cost,level,appeal,notes
15,2,15,4,40000,137
15,3,25,10,130000,358
15,4,20,7,80000,277
15,5,25,11,130000,388
15,6,30,16,180000,606
16,1,15,4,40000,168
16,2,15,4,40000,168
16,3,25,12,130000,547
16,4,20,8,80000,263
16,5,25,13,130000,591
16,6,30,18,180000,800
17,1,15,4,40000,160
17,2,15,4,40000,160
17,3,25,10,130000,413
17,4,20,7,80000,222
17,5,25,11,130000,424
17,6,30,15,180000,567
18,1,15,4,40000,143
18,2,15,4,40000,143
18,3,25,11,130000,374
18,4,20,7,80000,223
18,5,25,12,130000,388
18,6,30,16,180000,555
19,1,15,4,40000,154
19,2,15,4,40000,154
19,3,25,11,130000,385
19,4,20,7,80000,258
19,5,25,12,130000,388
19,6,30,17,180000,666
20,1,15,3,40000,123
20,2,15,3,40000,123
20,3,25,9,130000,232
20,4,20,6,80000,207
20,5,25,10,130000,247
20,6,30,14,180000,405
21,1,15,4,40000,105
21,2,15,4,40000,105
21,3,25,11,130000,352
21,4,20,7,80000,204
21,5,25,12,130000,357
21,6,30,16,180000,503
22,1,15,3,40000,129
22,2,15,3,40000,129
22,3,25,11,130000,391
22,4,20,7,80000,307
22,5,25,12,130000,426
22,6,30,17,180000,680
23,1,15,5,40000,200
23,2,15,5,40000,200
23,3,25,11,130000,412
23,4,20,8,80000,332
23,5,25,12,130000,416
23,6,30,17,180000,652
24,1,15,3,40000,150
24,2,15,3,40000,150
24,3,25,10,130000,376
24,4,20,6,80000,279
24,5,25,11,130000,387
24,6,30,14,180000,500
25,1,15,3,40000,151
25,2,15,3,40000,151
25,3,25,11,130000,436
25,4,20,7,80000,277
25,5,25,12,130000,445
25,6,30,17,180000,777
26,1,15,3,40000,127
26,2,15,3,40000,127
26,3,25,10,130000,366
26,4,20,7,80000,234
26,5,25,12,130000,398
26,6,30,17,180000,691
27,1,15,4,40000,158
27,2,15,4,40000,158
27,3,25,11,130000,399
27,4,20,7,80000,249
27,5,25,12,130000,408
27,6,30,17,180000,615
28,1,15,4,40000,164
28,2,15,4,40000,164
28,3,25,10,130000,321
28,4,20,7,80000,234
28,5,25,11,130000,345
28,6,30,17,180000,666
29,1,15,5,40000,103
29,2,15,5,40000,103
29,3,25,11,130000,388
29,4,20,7,80000,241
29,5,25,12,130000,393
29,6,30,17,180000,696
30,1,15,4,40000,190
30,2,15,4,40000,190
30,3,25,10,130000,366
30,4,20,7,80000,250
30,5,25,11,130000,380
30,6,30,16,180000,538
31,1,15,5,40000,192
31,2,15,5,40000,192
31,3,25,12,130000,456
31,4,20,8,80000,312
31,5,25,13,130000,462
31,6,30,18,180000,807
32,1,15,3,40000,149
32,2,15,3,40000,149
32,3,25,11,130000,345
32,4,20,6,80000,224
32,5,25,12,130000,353
32,6,30,17,180000,600
33,1,15,3,40000,100
33,2,15,3,40000,100
33,3,25,10,130000,372
33,4,20,6,80000,207
33,5,25,11,130000,385
33,6,30,15,180000,509
34,1,15,3,40000,144
34,2,15,3,40000,144
34,3,25,10,130000,335
34,4,20,6,80000,214
34,5,25,11,130000,345
34,6,30,15,180000,518
35,1,15,4,40000,145
35,2,15,4,40000,145
35,3,25,11,130000,348
35,4,20,7,80000,215
35,5,25,12,130000,373
35,6,30,17,180000,666
36,1,15,2,40000,90
36,2,15,2,40000,90
36,3,25,9,130000,270
36,4,20,6,80000,135
36,5,25,10,130000,281
36,6,30,14,180000,349
37,1,15,3,40000,125
37,2,15,3,40000,125
37,3,25,9,130000,282
37,4,20,6,80000,192
37,5,25,10,130000,300
37,6,30,16,180000,461
38,1,15,4,40000,139
38,2,15,4,40000,139
38,3,25,10,130000,315
38,4,20,7,80000,245
38,5,25,12,130000,404
38,6,30,18,180000,657
39,1,15,4,40000,189
39,2,15,4,40000,189
39,3,25,12,130000,408
39,4,20,8,80000,275
39,5,25,13,130000,432
39,6,30,17,180000,656
40,1,15,3,40000,156
40,2,15,3,40000,156
40,3,25,10,130000,337
40,4,20,6,80000,243
40,5,25,11,130000,376
40,6,30,16,180000,528
41,1,15,4,40000,149
41,2,15,4,40000,149
41,3,25,9,130000,300
41,4,20,8,80000,264
41,5,25,11,130000,343
41,6,30,17,180000,587
42,1,15,4,40000,143
42,2,15,4,40000,143
42,3,25,11,130000,365
42,4,20,7,80000,272
42,5,25,12,130000,395
42,6,30,16,180000,555
43,1,15,4,40000,161
43,2,15,4,40000,161
43,3,25,10,130000,375
43,4,20,6,80000,258
43,5,25,11,130000,416
43,6,30,17,180000,744
44,1,15,4,40000,134
44,2,15,4,40000,134
44,3,25,11,130000,388
44,4,20,7,80000,262
44,5,25,12,130000,426
44,6,30,17,180000,691
45,1,15,3,40000,134
45,2,15,3,40000,134
45,3,25,10,130000,343
45,4,20,7,80000,239
45,5,25,11,130000,386
45,6,30,16,180000,547
46,1,15,4,40000,208
46,2,15,4,40000,208
46,3,25,10,130000,416
46,4,20,7,80000,309
46,5,25,11,130000,452
46,6,30,17,180000,765
47,1,15,4,40000,144
47,2,15,4,40000,144
47,3,25,11,130000,366
47,4,20,7,80000,236
47,5,25,12,130000,377
47,6,30,16,180000,547
48,1,15,3,40000,107
48,2,15,3,40000,107
48,3,25,10,130000,307
48,4,20,6,80000,260
48,5,25,11,130000,338
48,6,30,16,180000,538
49,1,15,3,40000,171
49,2,15,3,40000,171
49,3,25,10,130000,356
49,4,20,6,80000,296
49,5,25,11,130000,370
49,6,30,16,180000,563
50,1,15,4,40000,133
50,2,15,4,40000,133
50,3,25,11,130000,340
50,4,20,7,80000,238
50,5,25,12,130000,350
50,6,30,17,180000,600
51,1,15,5,40000,190
51,2,15,5,40000,190
51,3,25,12,130000,458
51,4,20,8,80000,268
51,5,25,13,130000,483
51,6,30,18,180000,801
52,1,15,5,40000,159
52,2,15,5,40000,159
52,3,25,11,130000,359
52,4,20,8,80000,265
52,5,25,12,130000,388
52,6,30,18,180000,678
54,1,15,4,40000,144
54,2,15,4,40000,144
54,3,25,12,130000,322
54,4,20,7,80000,251
54,5,25,13,130000,333
54,6,30,17,180000,594
55,1,15,4,40000,139
55,2,15,4,40000,139
55,3,25,11,130000,324
55,4,20,7,80000,229
55,5,25,12,130000,341
55,6,30,17,180000,588
56,1,15,4,40000,191
56,2,15,4,40000,191
56,3,25,11,130000,516
56,4,20,7,80000,367
56,5,25,12,130000,536
56,6,30,17,180000,797
59,1,15,5,40000,204
59,2,15,5,40000,204
59,3,25,12,130000,468
59,4,20,8,80000,351
59,5,25,13,130000,479
59,6,30,18,180000,765
60,1,15,4,40000,177
60,2,15,4,40000,177
60,3,25,12,130000,463
60,4,20,7,80000,328
60,5,25,13,130000,471
60,6,30,17,180000,758
61,1,15,4,40000,180
61,2,15,4,40000,180
61,3,25,12,130000,459
61,4,20,8,80000,362
61,5,25,13,130000,463
61,6,30,17,180000,726
62,1,15,4,40000,169
62,2,15,4,40000,169
62,3,25,12,130000,372
62,4,20,7,80000,270
62,5,25,13,130000,390
62,6,30,17,180000,765
63,1,15,4,40000,197
63,2,15,4,40000,197
63,3,25,12,130000,460
63,4,20,8,80000,334
63,5,25,13,130000,470
63,6,30,18,180000,860
64,1,15,3,40000,103
64,2,15,3,40000,103
64,3,25,11,130000,319
64,4,20,7,80000,196
64,5,25,12,130000,326
64,6,30,16,180000,515
65,1,15,4,40000,154
65,2,15,4,40000,154
65,3,25,11,130000,370
65,4,20,7,80000,276
65,5,25,12,130000,391
65,6,30,16,180000,589
66,1,15,5,40000,211
66,2,15,5,40000,211
66,3,25,11,130000,490
66,4,20,8,80000,333
66,5,25,12,130000,527
66,6,30,18,180000,916
67,1,15,5,40000,193
67,2,15,5,40000,193
67,3,25,11,130000,413
67,4,20,8,80000,333
67,5,25,12,130000,423
67,6,30,17,180000,783
68,1,15,4,40000,155
68,2,15,4,40000,155
68,3,25,11,130000,423
68,4,20,7,80000,230
68,5,25,12,130000,433
68,6,30,17,180000,727
69,1,15,4,40000,152
69,2,15,4,40000,152
69,3,25,11,130000,438
69,4,20,8,80000,300
69,5,25,12,130000,448
69,6,30,16,180000,643
70,1,15,4,40000,102
70,2,15,4,40000,102
70,3,25,10,130000,317
70,4,20,7,80000,222
70,5,25,11,130000,337
70,6,30,17,180000,638
71,1,15,5,40000,222
71,2,15,5,40000,222
71,3,25,12,130000,482
71,4,20,8,80000,373
71,5,25,13,130000,518
71,6,30,17,180000,763
72,1,15,4,40000,142
72,2,15,4,40000,142
72,3,25,11,130000,400
72,4,20,7,80000,247
72,5,25,12,130000,400
72,6,30,17,180000,626
73,1,15,4,40000,159
73,2,15,4,40000,159
73,3,25,11,130000,402
73,4,20,8,80000,333
73,5,25,12,130000,432
73,6,30,17,180000,724
74,1,15,5,40000,133
74,2,15,5,40000,133
74,3,25,12,130000,507
74,4,20,8,80000,351
74,5,25,13,130000,521
74,6,30,18,180000,838
75,1,15,4,40000,153
75,2,15,4,40000,153
75,3,25,11,130000,448
75,4,20,7,80000,269
75,5,25,12,130000,487
75,6,30,17,180000,780
76,1,15,4,40000,181
76,2,15,4,40000,181
76,3,25,11,130000,442
76,4,20,8,80000,314
76,5,25,12,130000,458
76,6,30,17,180000,765
77,1,15,4,40000,158
77,2,15,4,40000,158
77,3,25,10,130000,384
77,4,20,7,80000,303
77,5,25,11,130000,407
77,6,30,16,180000,594
78,1,15,4,40000,143
78,2,15,4,40000,143
78,3,25,12,130000,522
78,4,20,8,80000,342
78,5,25,13,130000,545
78,6,30,17,180000,876
79,1,15,5,40000,190
79,2,15,5,40000,190
79,3,25,12,130000,492
79,4,20,8,80000,368
79,5,25,13,130000,494
79,6,30,19,180000,919
80,1,15,5,40000,200
80,2,15,5,40000,200
80,3,25,11,130000,415
80,4,20,7,80000,300
80,5,25,12,130000,430
80,6,30,18,180000,735
81,1,15,3,40000,138
81,2,15,3,40000,138
81,3,25,11,130000,415
81,4,20,7,80000,273
81,5,25,12,130000,439
81,6,30,17,180000,719
82,1,15,4,40000,192
82,2,15,4,40000,192
82,3,25,11,130000,489
82,4,20,7,80000,367
82,5,25,12,130000,501
82,6,30,16,180000,756
83,1,15,5,40000,211
83,2,15,5,40000,211
83,3,25,12,130000,511
83,4,20,8,80000,360
83,5,25,13,130000,525
83,6,30,17,180000,777
84,1,15,4,40000,184
84,2,15,4,40000,184
84,3,25,11,130000,531
84,4,20,7,80000,318
84,5,25,12,130000,547
84,6,30,17,180000,770
85,1,15,4,40000,132
85,2,15,4,40000,132
85,3,25,11,130000,430
85,4,20,7,80000,268
85,5,25,12,130000,437
85,6,30,16,180000,636
86,1,15,5,40000,200
86,2,15,5,40000,200
86,3,25,10,130000,400
86,4,20,7,80000,300
86,5,25,11,130000,400
86,6,30,17,180000,700
87,1,15,4,40000,109
87,2,15,4,40000,109
87,3,25,11,130000,370
87,4,20,7,80000,238
87,5,25,12,130000,376
87,6,30,17,180000,627
88,1,15,5,40000,283
88,2,15,5,40000,283
88,3,25,12,130000,514
88,4,20,8,80000,375
88,5,25,13,130000,535
88,6,30,17,180000,807
89,1,15,5,40000,177
89,2,15,5,40000,177
89,3,25,11,130000,457
89,4,20,8,80000,350
89,5,25,12,130000,462
89,6,30,17,180000,777
90,1,15,5,40000,158
90,2,15,5,40000,158
90,3,25,12,130000,491
90,4,20,7,80000,231
90,5,25,13,130000,491
90,6,30,17,180000,807
91,1,15,4,40000,140
91,2,15,4,40000,140
91,3,25,11,130000,408
91,4,20,7,80000,236
91,5,25,12,130000,411
91,6,30,17,180000,802
92,1,15,4,40000,181
92,2,15,4,40000,181
92,3,25,11,130000,455
92,4,20,7,80000,263
92,5,25,12,130000,469
92,6,30,17,180000,765
93,1,15,4,40000,164
93,2,15,4,40000,164
93,3,25,12,130000,512
93,4,20,7,80000,301
93,5,25,13,130000,524
93,6,30,18,180000,948
94,1,15,4,40000,160
94,2,15,4,40000,160
94,3,25,10,130000,367
94,4,20,7,80000,267
94,5,25,11,130000,371
94,6,30,16,180000,567
95,1,15,4,40000,151
95,2,15,4,40000,151
95,3,25,11,130000,446
95,4,20,7,80000,314
95,5,25,12,130000,451
95,6,30,17,180000,700
96,1,15,4,40000,165
96,2,15,4,40000,165
96,3,25,12,130000,457
96,4,20,8,80000,317
96,5,25,13,130000,461
96,6,30,17,180000,726
97,1,15,5,40000,120
97,2,15,5,40000,120
97,3,25,12,130000,421
97,4,20,7,80000,227
97,5,25,13,130000,424
97,6,30,16,180000,568
98,1,15,5,40000,87
98,2,15,5,40000,87
98,3,25,11,130000,200
98,4,20,7,80000,123
98,5,25,12,130000,215
98,6,30,15,180000,387
99,1,15,4,40000,185
99,2,15,4,40000,185
99,3,25,10,130000,418
99,4,20,7,80000,297
99,5,25,11,130000,427
99,6,30,17,180000,657
100,1,15,4,40000,197
100,2,15,4,40000,197
100,3,25,11,130000,490
100,4,20,7,80000,264
100,5,25,12,130000,491
100,6,30,17,180000,690
101,1,15,5,40000,168
101,2,15,5,40000,168
101,3,25,11,130000,479
101,4,20,8,80000,351
101,5,25,12,130000,506
101,6,30,17,180000,800
102,1,15,4,40000,159
102,2,15,4,40000,159
102,3,25,10,130000,405
102,4,20,7,80000,274
102,5,25,11,130000,426
102,6,30,15,180000,579
103,1,15,3,40000,112
103,2,15,3,40000,112
103,3,25,9,130000,310
103,4,20,7,80000,208
103,5,25,10,130000,325
103,6,30,14,180000,476
104,1,15,4,40000,179
104,2,15,4,40000,179
104,3,25,11,130000,513
104,4,20,7,80000,282
104,5,25,12,130000,518
104,6,30,17,180000,813
105,1,15,4,40000,175
105,2,15,4,40000,175
105,3,25,12,130000,400
105,4,20,8,80000,269
105,5,25,13,130000,407
105,6,30,18,180000,725
106,1,15,4,40000,203
106,2,15,4,40000,203
106,3,25,11,130000,492
106,4,20,7,80000,339
106,5,25,12,130000,507
106,6,30,17,180000,765
107,1,15,4,40000,140
107,2,15,4,40000,140
107,3,25,10,130000,347
107,4,20,7,80000,251
107,5,25,11,130000,349
107,6,30,17,180000,534
108,1,15,4,40000,155
108,2,15,4,40000,155
108,3,25,11,130000,428
108,4,20,7,80000,278
108,5,25,12,130000,448
108,6,30,19,180000,904
109,1,15,4,40000,144
109,2,15,4,40000,144
109,3,25,11,130000,391
109,4,20,7,80000,251
109,5,25,12,130000,419
109,6,30,17,180000,690
110,1,15,4,40000,177
110,2,15,4,40000,177
110,3,25,11,130000,465
110,4,20,7,80000,370
110,5,25,12,130000,480
110,6,30,17,180000,777
111,1,15,4,40000,100
111,2,15,4,40000,100
111,3,25,9,130000,327
111,4,20,6,80000,190
111,5,25,10,130000,349
111,6,30,14,180000,400
112,1,15,5,40000,171
112,2,15,5,40000,171
112,3,25,11,130000,468
112,4,20,8,80000,301
112,5,25,12,130000,474
112,6,30,18,180000,789
113,1,15,4,40000,183
113,2,15,4,40000,183
113,3,25,11,130000,480
113,4,20,8,80000,337
113,5,25,12,130000,499
113,6,30,17,180000,727
114,1,15,4,40000,202
114,2,15,4,40000,202
114,3,25,10,130000,422
114,4,20,7,80000,337
114,5,25,11,130000,447
114,6,30,17,180000,774
115,1,15,4,40000,209
115,2,15,4,40000,209
115,3,25,11,130000,504
115,4,20,8,80000,402
115,5,25,12,130000,523
115,6,30,17,180000,826
116,1,15,4,40000,167
116,2,15,4,40000,167
116,3,25,10,130000,379
116,4,20,7,80000,316
116,5,25,11,130000,387
116,6,30,16,180000,598
117,1,15,4,40000,157
117,2,15,4,40000,157
117,3,25,10,130000,386
117,4,20,7,80000,288
117,5,25,11,130000,398
117,6,30,16,180000,693
118,1,15,4,40000,184
118,2,15,4,40000,184
118,3,25,11,130000,528
118,4,20,7,80000,384
118,5,25,12,130000,547
118,6,30,17,180000,691
