mst_event_talk_story_id,mst_event_talk_control_id,episode,release_event_point,mst_event_talk_speaker_id,bg_id,thumbnail_id,begin_date
142,21,12,2400,"2,45,0",bg2d_g0238,bg2d_a0142,2021-04-29T00:00:00+0800
143,22,13,400,"2,44,45",bg2d_g0238,bg2d_a0143,2021-04-30T00:00:00+0800
144,22,14,800,"45,0,0",bg2d_g0238,bg2d_a0144,2021-04-30T00:00:00+0800
145,22,15,1200,"2,0,0",bg2d_g0236,bg2d_a0145,2021-04-30T00:00:00+0800
146,22,16,1600,"2,0,0",bg2d_g0236,bg2d_a0146,2021-04-30T00:00:00+0800
147,22,17,2000,"2,0,0",bg2d_g0236,bg2d_a0147,2021-04-30T00:00:00+0800
148,22,18,2400,"2,44,45",bg2d_g0238,bg2d_a0148,2021-04-30T00:00:00+0800
149,23,19,400,"2,0,0",bg2d_g0240,bg2d_a0149,2021-05-01T00:00:00+0800
150,23,20,800,"2,44,45",bg2d_g0240,bg2d_a0150,2021-05-01T00:00:00+0800
151,23,21,1200,"2,44,45",bg2d_g0236,bg2d_a0151,2021-05-01T00:00:00+0800
152,23,22,1600,"2,44,45",bg2d_g0236,bg2d_a0152,2021-05-01T00:00:00+0800
153,23,23,2000,"2,44,45",bg2d_g0240,bg2d_a0153,2021-05-01T00:00:00+0800
154,23,24,2400,"2,44,45",bg2d_g0240,bg2d_a0154,2021-05-01T00:00:00+0800
155,24,1,400,"50,0,0",bg2d_g0062,bg2d_a0155,2021-05-30T15:00:00+0800
156,24,2,800,"47,50,0",bg2d_g0064,bg2d_a0156,2021-05-30T15:00:00+0800
157,24,3,1200,"50,0,0",bg2d_g0064,bg2d_a0157,2021-05-30T15:00:00+0800
158,24,4,1600,"20,50,0",bg2d_g0066,bg2d_a0158,2021-05-30T15:00:00+0800
159,24,5,2000,"50,0,0",bg2d_g0066,bg2d_a0159,2021-05-30T15:00:00+0800
160,24,6,2400,"20,47,50",bg2d_g0066,bg2d_a0160,2021-05-30T15:00:00+0800
161,24,7,2800,"50,0,0",bg2d_g0066,bg2d_a0161,2021-05-30T15:00:00+0800
162,24,8,3200,"11,50,0",bg2d_g0064,bg2d_a0162,2021-05-30T15:00:00+0800
163,24,9,3600,"50,0,0",bg2d_g0062,bg2d_a0163,2021-05-30T15:00:00+0800
164,25,10,400,"47,0,0",bg2d_g0062,bg2d_a0164,2021-05-31T00:00:00+0800
165,25,11,800,"20,47,0",bg2d_g0063,bg2d_a0165,2021-05-31T00:00:00+0800
166,25,12,1200,"47,0,0",bg2d_g0063,bg2d_a0166,2021-05-31T00:00:00+0800
167,25,13,1600,"47,50,0",bg2d_g0063,bg2d_a0167,2021-05-31T00:00:00+0800
168,25,14,2000,"47,0,0",bg2d_g0063,bg2d_a0168,2021-05-31T00:00:00+0800
169,25,15,2400,"20,47,50",bg2d_g0063,bg2d_a0169,2021-05-31T00:00:00+0800
170,25,16,2800,"47,0,0",bg2d_g0063,bg2d_a0170,2021-05-31T00:00:00+0800
171,25,17,3200,"11,47,0",bg2d_g0064,bg2d_a0171,2021-05-31T00:00:00+0800
172,25,18,3600,"47,0,0",bg2d_g0062,bg2d_a0172,2021-05-31T00:00:00+0800
173,26,19,400,"20,0,0",bg2d_g0062,bg2d_a0173,2021-06-01T00:00:00+0800
174,26,20,800,"20,47,0",bg2d_g0063,bg2d_a0174,2021-06-01T00:00:00+0800
175,26,21,1200,"20,0,0",bg2d_g0062,bg2d_a0175,2021-06-01T00:00:00+0800
176,26,22,1600,"20,50,0",bg2d_g0064,bg2d_a0176,2021-06-01T00:00:00+0800
177,26,23,2000,"20,0,0",bg2d_g0064,bg2d_a0177,2021-06-01T00:00:00+0800
178,26,24,2400,"20,47,50",bg2d_g0066,bg2d_a0178,2021-06-01T00:00:00+0800
179,26,25,2800,"20,0,0",bg2d_g0066,bg2d_a0179,2021-06-01T00:00:00+0800
180,26,26,3200,"11,20,0",bg2d_g0065,bg2d_a0180,2021-06-01T00:00:00+0800
181,26,27,3600,"20,0,0",bg2d_g0064,bg2d_a0181,2021-06-01T00:00:00+0800
182,27,28,400,"11,0,0",bg2d_g0064,bg2d_a0182,2021-06-02T00:00:00+0800
183,27,29,800,"11,50,0",bg2d_g0064,bg2d_a0183,2021-06-02T00:00:00+0800
184,27,30,1200,"11,0,0",bg2d_g0062,bg2d_a0184,2021-06-02T00:00:00+0800
185,27,31,1600,"11,47,0",bg2d_g0063,bg2d_a0185,2021-06-02T00:00:00+0800
186,27,32,2000,"11,0,0",bg2d_g0066,bg2d_a0186,2021-06-02T00:00:00+0800
187,27,33,2400,"11,47,50",bg2d_g0065,bg2d_a0187,2021-06-02T00:00:00+0800
188,27,34,2800,"11,0,0",bg2d_g0065,bg2d_a0188,2021-06-02T00:00:00+0800
189,27,35,3200,"11,20,0",bg2d_g0065,bg2d_a0189,2021-06-02T00:00:00+0800
190,27,36,3600,"11,0,0",bg2d_g0065,bg2d_a0190,2021-06-02T00:00:00+0800
191,28,1,400,"7,40,49",bg2d_g0246,bg2d_a0191,2021-06-27T15:00:00+0800
192,28,2,800,"49,0,0",bg2d_g0246,bg2d_a0192,2021-06-27T15:00:00+0800
193,28,3,1200,"49,0,0",bg2d_g0241,bg2d_a0193,2021-06-27T15:00:00+0800
194,28,4,1600,"49,0,0",bg2d_g0241,bg2d_a0194,2021-06-27T15:00:00+0800
195,28,5,2000,"7,49,0",bg2d_g0244,bg2d_a0195,2021-06-27T15:00:00+0800
196,29,6,400,"49,0,0",bg2d_g0241,bg2d_a0196,2021-06-28T00:00:00+0800
197,29,7,800,"7,40,49",bg2d_g0246,bg2d_a0197,2021-06-28T00:00:00+0800
198,29,8,1200,"40,0,0",bg2d_g0243,bg2d_a0198,2021-06-28T00:00:00+0800
199,29,9,1600,"40,0,0",bg2d_g0243,bg2d_a0199,2021-06-28T00:00:00+0800
200,29,10,2000,"40,0,0",bg2d_g0242,bg2d_a0200,2021-06-28T00:00:00+0800
201,29,11,2400,"7,40,0",bg2d_g0242,bg2d_a0201,2021-06-28T00:00:00+0800
202,30,12,400,"40,0,0",bg2d_g0243,bg2d_a0202,2021-06-29T00:00:00+0800
203,30,13,800,"7,40,49",bg2d_g0246,bg2d_a0203,2021-06-29T00:00:00+0800
204,30,14,1200,"7,0,0",bg2d_g0246,bg2d_a0204,2021-06-29T00:00:00+0800
205,30,15,1600,"5,7,0",bg2d_g0244,bg2d_a0205,2021-06-29T00:00:00+0800
206,30,16,2000,"7,0,0",bg2d_g0244,bg2d_a0206,2021-06-29T00:00:00+0800
207,30,17,2400,"7,40,49",bg2d_g0246,bg2d_a0207,2021-06-29T00:00:00+0800
208,31,18,400,"7,0,0",bg2d_g0244,bg2d_a0208,2021-06-30T00:00:00+0800
209,31,19,800,"7,40,49",bg2d_g0246,bg2d_a0209,2021-06-30T00:00:00+0800
210,31,20,1200,"7,40,49",bg2d_g0241,bg2d_a0210,2021-06-30T00:00:00+0800
211,31,21,1600,"7,40,49",bg2d_g0245,bg2d_a0211,2021-06-30T00:00:00+0800
212,31,22,2000,"7,40,49",bg2d_g0246,bg2d_a0212,2021-06-30T00:00:00+0800
213,31,23,2400,"7,40,49",bg2d_g0246,bg2d_a0213,2021-06-30T00:00:00+0800
214,32,1,400,"3,19,36",bg2d_g0151,bg2d_a0214,2021-07-31T15:00:00+0800
215,32,2,800,"19,36,0",bg2d_g0152,bg2d_a0215,2021-07-31T15:00:00+0800
216,32,3,1200,"13,40,42",bg2d_g0152,bg2d_a0216,2021-07-31T15:00:00+0800
217,32,4,1600,"21,22,32",bg2d_g0152,bg2d_a0217,2021-07-31T15:00:00+0800
218,32,5,2000,"5,7,38",bg2d_g0152,bg2d_a0218,2021-07-31T15:00:00+0800
219,32,6,2400,"25,0,0",bg2d_g0154,bg2d_a0219,2021-07-31T15:00:00+0800
220,33,7,400,"12,29,47",bg2d_g0152,bg2d_a0220,2021-08-01T00:00:00+0800
221,33,8,800,"24,0,0",bg2d_g0153,bg2d_a0221,2021-08-01T00:00:00+0800
222,33,9,1200,"51,52,0",bg2d_g0152,bg2d_a0222,2021-08-01T00:00:00+0800
223,33,10,1600,"3,16,28",bg2d_g0152,bg2d_a0223,2021-08-01T00:00:00+0800
224,33,11,2000,"14,15,23",bg2d_g0153,bg2d_a0224,2021-08-01T00:00:00+0800
225,33,12,2400,"21,0,0",bg2d_g0154,bg2d_a0225,2021-08-01T00:00:00+0800
226,34,13,400,"2,33,36",bg2d_g0152,bg2d_a0226,2021-08-02T00:00:00+0800
227,34,14,800,"1,31,45",bg2d_g0154,bg2d_a0227,2021-08-02T00:00:00+0800
228,34,15,1200,"10,39,46",bg2d_g0152,bg2d_a0228,2021-08-02T00:00:00+0800
229,34,16,1600,"30,35,49",bg2d_g0151,bg2d_a0229,2021-08-02T00:00:00+0800
230,34,17,2000,"4,6,26",bg2d_g0151,bg2d_a0230,2021-08-02T00:00:00+0800
231,34,18,2400,"39,0,0",bg2d_g0155,bg2d_a0231,2021-08-02T00:00:00+0800
232,35,19,400,"8,11,19",bg2d_g0151,bg2d_a0232,2021-08-03T00:00:00+0800
233,35,20,800,"21,34,50",bg2d_g0155,bg2d_a0233,2021-08-03T00:00:00+0800
234,35,21,1200,"9,27,43",bg2d_g0151,bg2d_a0234,2021-08-03T00:00:00+0800
235,35,22,1600,"37,41,48",bg2d_g0155,bg2d_a0235,2021-08-03T00:00:00+0800
236,35,23,2000,"24,25,44",bg2d_g0151,bg2d_a0236,2021-08-03T00:00:00+0800
237,35,24,2400,"17,18,20",bg2d_g0155,bg2d_a0237,2021-08-03T00:00:00+0800
238,36,1,400,"14,18,31",bg2d_g0247,bg2d_a0238,2021-08-30T15:00:00+0800
239,36,2,800,"14,18,31",bg2d_g0247,bg2d_a0239,2021-08-30T15:00:00+0800
240,36,3,1200,"23,36,42",bg2d_g0250,bg2d_a0240,2021-08-30T15:00:00+0800
241,36,4,1600,"14,18,31",bg2d_g0247,bg2d_a0241,2021-08-30T15:00:00+0800
242,37,5,400,"24,36,0",bg2d_g0250,bg2d_a0242,2021-08-31T00:00:00+0800
243,37,6,800,"36,0,0",bg2d_g0249,bg2d_a0243,2021-08-31T00:00:00+0800
244,37,7,1200,"42,0,0",bg2d_g0248,bg2d_a0244,2021-08-31T00:00:00+0800
245,37,8,1600,"8,19,23",bg2d_g0250,bg2d_a0245,2021-08-31T00:00:00+0800
246,38,9,400,"15,38,47",bg2d_g0251,bg2d_a0246,2021-09-01T00:00:00+0800
247,38,10,800,"15,38,47",bg2d_g0251,bg2d_a0247,2021-09-01T00:00:00+0800
248,38,11,1200,"15,38,47",bg2d_g0252,bg2d_a0248,2021-09-01T00:00:00+0800
249,38,12,1600,"29,0,0",bg2d_g0253,bg2d_a0249,2021-09-01T00:00:00+0800
250,39,13,400,"17,0,0",bg2d_g0253,bg2d_a0250,2021-09-02T00:00:00+0800
251,39,14,800,"48,0,0",bg2d_g0254,bg2d_a0251,2021-09-02T00:00:00+0800
252,39,15,1200,"29,48,0",bg2d_g0254,bg2d_a0252,2021-09-02T00:00:00+0800
253,39,16,1600,"17,48,0",bg2d_g0254,bg2d_a0253,2021-09-02T00:00:00+0800
302,41,1,400,"3,4,18",bg2d_g0255,bg2d_a0302,2021-09-28T15:00:00+0800
303,41,2,800,"16,39,48",bg2d_g0258,bg2d_a0303,2021-09-28T15:00:00+0800
304,41,3,1200,"3,15,18",bg2d_g0255,bg2d_a0304,2021-09-28T15:00:00+0800
305,41,4,1600,"37,51,52",bg2d_g0255,bg2d_a0305,2021-09-28T15:00:00+0800
306,41,5,2000,"4,18,24",bg2d_g0256,bg2d_a0306,2021-09-28T15:00:00+0800
307,42,6,400,"7,14,41",bg2d_g0256,bg2d_a0307,2021-09-29T00:00:00+0800
308,42,7,800,"18,26,37",bg2d_g0256,bg2d_a0308,2021-09-29T00:00:00+0800
309,42,8,1200,"20,23,50",bg2d_g0255,bg2d_a0309,2021-09-29T00:00:00+0800
310,42,9,1600,"19,35,42",bg2d_g0256,bg2d_a0310,2021-09-29T00:00:00+0800
311,42,10,2000,"22,27,32",bg2d_g0256,bg2d_a0311,2021-09-29T00:00:00+0800
312,43,11,400,"3,24,40",bg2d_g0257,bg2d_a0312,2021-09-30T00:00:00+0800
313,43,12,800,"4,21,36",bg2d_g0257,bg2d_a0313,2021-09-30T00:00:00+0800
314,43,13,1200,"1,3,43",bg2d_g0257,bg2d_a0314,2021-09-30T00:00:00+0800
315,43,14,1600,"5,45,47",bg2d_g0256,bg2d_a0315,2021-09-30T00:00:00+0800
316,43,15,2000,"6,15,38",bg2d_g0257,bg2d_a0316,2021-09-30T00:00:00+0800
317,44,16,400,"2,18,25",bg2d_g0257,bg2d_a0317,2021-10-01T00:00:00+0800
318,44,17,800,"12,17,46",bg2d_g0257,bg2d_a0318,2021-10-01T00:00:00+0800
319,44,18,1200,"18,24,40",bg2d_g0258,bg2d_a0319,2021-10-01T00:00:00+0800
320,44,19,1600,"11,13,49",bg2d_g0258,bg2d_a0320,2021-10-01T00:00:00+0800
321,44,20,2000,"10,31,44",bg2d_g0258,bg2d_a0321,2021-10-01T00:00:00+0800
322,45,21,400,"30,33,34",bg2d_g0258,bg2d_a0322,2021-10-02T00:00:00+0800
323,45,22,800,"9,24,40",bg2d_g0258,bg2d_a0323,2021-10-02T00:00:00+0800
324,45,23,1200,"3,4,40",bg2d_g0259,bg2d_a0324,2021-10-02T00:00:00+0800
325,45,24,1600,"8,28,29",bg2d_g0259,bg2d_a0325,2021-10-02T00:00:00+0800
326,45,25,2000,"18,0,0",bg2d_g0259,bg2d_a0326,2021-10-02T00:00:00+0800
